sanskrit,hindi
गते तु भरते श्रीमान् सत्यसंधो जितेन्द्रियः॥३९॥ रामस्तु पुनरालक्ष्य नागरस्य जनस्य च। तत्रागमनमेकाग्रो दण्डकान् प्रविवेश ह॥४०॥,‘भरतके लौट जानेपर सत्यप्रतिज्ञ जितेन्द्रिय श्रीमान्। रामने वहाँपर पुनः नागरिक जनोंका आना-जाना देखकर उनसे बचनेके लिये) एकाग्रभावसे दण्डकारण्यमें प्रवेश किया॥ ३९-४० ॥
प्रविश्य तु महारण्यं रामो राजीवलोचनः। विराधं राक्षसं हत्वा शरभंगं ददर्श ह॥४१॥ सुतीक्ष्णं चाप्यगस्त्यं च अगस्त्यभ्रातरं तथा।,"‘उस महान् वनमें पहुँचनेपर कमललोचन रामने विराध नामक राक्षसको मारकर शरभंग, सुतीक्ष्ण, अगस्त्य मुनि तथा अगस्त्यके भ्राताका दर्शन किया। ४१ १/२॥"
अगस्त्यवचनाच्चैव जग्राहैन्द्रं शरासनम्॥४२॥ खड्गं च परमप्रीतस्तूणी चाक्षयसायकौ।,"‘फिर अगस्त्य मुनिके कहनेसे उन्होंने ऐन्द्र धनुष, एक खड्ग और दो तूणीर, जिनमें बाण कभी नहीं घटते थे, प्रसन्नतापूर्वक ग्रहण किये॥ ४२ १/२ ॥"
वसतस्तस्य रामस्य वने वनचरैः सह ॥४३॥ ऋषयोऽभ्यागमन् सर्वे वधायासुररक्षसाम्।,‘एक दिन वनमें वनचरोंके साथ रहनेवाले श्रीरामके पास असुर तथा राक्षसोंके वधके लिये निवेदन करनेको वहाँके सभी ऋषि आये॥ ४३ १/२॥
स तेषां प्रतिशुश्राव राक्षसानां तदा वने॥४४॥ प्रतिज्ञातश्च रामेण वधः संयति रक्षसाम्। ऋषीणामग्निकल्पानां दण्डकारण्यवासिनाम्॥४५॥,‘उस समय वनमें श्रीरामने दण्डकारण्यवासी अग्निके समान तेजस्वी उन ऋषियोंको राक्षसोंके मारनेका वचन दिया और संग्राममें उनके वधकी प्रतिज्ञा की॥
तेन तत्रैव वसता जनस्थाननिवासिनी। विरूपिता शूर्पणखा राक्षसी कामरूपिणी॥४६॥,‘वहाँ ही रहते हुए श्रीरामने इच्छानुसार रूप बनानेवाली जनस्थाननिवासिनी शूर्पणखा नामकी राक्षसीको [लक्ष्मणके द्वारा उसकी नाक कटाकर] कुरूप कर दिया॥ ४६॥
ततः शूर्पणखावाक्यादुधुक्तान् सर्वराक्षसान्। खरं त्रिशिरसं चैव दूषणं चैव राक्षसम्॥४७॥ निजघान रणे रामस्तेषां चैव पदानुगान्।,"‘तब शूर्पणखाके कहनेसे चढ़ाई करनेवाले सभी राक्षसोंको और खर, दूषण, त्रिशिरा तथा उनके पृष्ठपोषक असुरोंको रामने युद्ध में मार डाला॥ ४७ १/२॥"
वने तस्मिन् निवसता जनस्थाननिवासिनाम्॥४८॥ रक्षसां निहतान्यासन् सहस्राणि चतुर्दश।,‘उस वनमें निवास करते हुए उन्होंने जनस्थानवासी चौदह हजार राक्षसोंका वध किया। ४८ १/२॥
ततो ज्ञातिवधं श्रुत्वा रावणः क्रोधमूर्च्छितः॥४९॥  सहायं वरयामास मारीचं नाम राक्षसम्।,‘तदनन्तर अपने कुटुम्बका वध सुनकर रावण नामका राक्षस क्रोधसे मूर्च्छित हो उठा और उसने मारीच राक्षससे सहायता माँगी॥४९ १/२ ॥
वार्यमाणः सुबहुशो मारीचेन स रावणः॥५०॥ न विरोधो बलवता क्षमो रावण तेन ते। अनादृत्य तु तद्वाक्यं रावणः कालचोदितः॥५१॥ जगाम सहमारीचस्तस्याश्रमपदं तदा।,‘यद्यपि मारीचने यह कहकर कि ‘रावण! उस बलवान् रामके साथ तुम्हारा विरोध ठीक नहीं है’ रावणको अनेकों बार मना किया; परंतु कालकी प्रेरणासे रावणने मारीचके वाक्योंको टाल दिया और उसके साथ ही रामके आश्रमपर गया॥ ५०-५१ १/२॥
तेन मायाविना दूरमपवाह्य नृपात्मजौ॥५२॥ जहार भार्यां रामस्य गृधं हत्वा जटायुषम्।,"‘मायावी मारीचके द्वारा उसने दोनों राजकुमारोंको आश्रमसे दूर हटा दिया और स्वयं रामकी पत्नी सीताका अपहरण कर लिया, [जाते समय मार्गमें विघ्न डालनेके कारण] उसने जटायु नामक गृध्रका वध किया॥ ५२ १/२॥"
गृधं च निहतं दृष्ट्वा हृतां श्रुत्वा च मैथिलीम्॥५३॥ राघवः शोकसंतप्तो विललापाकुलेन्द्रियः।,"‘तत्पश्चात् जटायुको आहत देखकर और (उसीके मुखसे) सीताका हरण सुनकर रामचन्द्रजी शोकसे पीड़ित होकर विलाप करने लगे, उस समय उनकी सभी इन्द्रियाँ व्याकुल हो उठी थीं॥ ५३ १/२ ।।"
ततस्तेनैव शोकेन गृधं दग्ध्वा जटायुषम्॥५४॥ मार्गमाणो वने सीतां राक्षसं संददर्श ह।। कबन्धं नाम रूपेण विकृतं घोरदर्शनम्॥५५॥ तं निहत्य महाबाहुर्ददाह स्वर्गतश्च सः।,"‘फिर उसी शोकमें पड़े हुए उन्होंने जटायु गृध्रका अग्निसंस्कार किया और वनमें सीताको ढूँढ़ते हुए कबन्ध नामक राक्षसको देखा, जो शरीरसे विकृत तथा भयंकर दीखनेवाला था। महाबाहु रामने उसे मारकर उसका भी दाह किया, अतः वह स्वर्गको चला गया।"
स चास्य कथयामास शबरी धर्मचारिणीम्॥५६॥ श्रमणां धर्मनिपुणामभिगच्छेति राघव।,‘जाते समय उसने रामसे धर्मचारिणी शबरीका पता बतलाया और कहा—’रघुनन्दन! आप धर्मपरायणा संन्यासिनी शबरीके आश्रमपर जाइये’ ।। ५६ १/२ ।। ।
सोऽभ्यगच्छन्महातेजाः शबरीं शत्रुसूदनः॥५७॥ शबर्या पूजितः सम्यग् रामो दशरथात्मजः।,"‘शत्रुहन्ता महान् तेजस्वी दशरथकुमार राम शबरीके यहाँ गये, उसने इनका भलीभाँति पूजन किया॥ ५७ १/२॥"
पम्पातीरे हनुमता संगतो वानरेण ह॥५८॥ हनुमद्वचनाच्चैव सुग्रीवेण समागतः।,‘फिर वे पम्पासरके तटपर हनुमान् नामक वानरसे मिले और उन्हींके कहनेसे सुग्रीवसे भी मेल किया॥
सुग्रीवाय च तत्सर्वं शंसद्रामो महाबलः॥ ५९॥ आदितस्तद् यथावृत्तं सीतायाश्च विशेषतः।,‘तदनन्तर महाबलवान् रामने आदिसे ही लेकर जो कुछ हुआ था वह और विशेषतः सीताका वृत्तान्त सुग्रीवसे कह सुनाया॥ ५९ १/२॥
सुग्रीवश्चापि तत्सर्वं श्रुत्वा रामस्य वानरः॥६०॥ चकार सख्यं रामेण प्रीतश्चैवाग्निसाक्षिकम्।,‘वानर सुग्रीवने रामकी सारी बातें सुनकर उनके साथ प्रेमपूर्वक अग्निको साक्षी बनाकर मित्रता की।
ततो वानरराजेन वैरानुकथनं प्रति॥६१॥ रामायावेदितं सर्वं प्रणयाद् दुःखितेन च।,“उसके बाद वानरराज सुग्रीवने स्नेहवश वालीके साथ वैर होनेकी सारी बातें रामसे दुःखी होकर बतलायीं॥
प्रतिज्ञातं च रामेण तदा वालिवधं प्रति॥६२॥ वालिनश्च बलं तत्र कथयामास वानरः। सुग्रीवः शङ्कितश्चासीन्नित्यं वीर्येण राघवे॥६३॥,"‘उस समय रामने वालीको मारनेकी प्रतिज्ञा की, तब वानर सुग्रीवने वहाँ वालीके बलका वर्णन किया; क्योंकि सुग्रीवको रामके बलके विषयमें बराबर शंका बनी रहती थी॥ ६२-६३॥"
राघवप्रत्ययार्थं तु दुन्दुभेः कायमुत्तमम्। दर्शयामास सुग्रीवो महापर्वतसंनिभम्॥६४॥,‘रामकी प्रतीतिके लिये उन्होंने दुन्दुभि दैत्यका महान् पर्वतके समान विशाल शरीर दिखलाया॥ ६४॥
उत्स्मयित्वा महाबाहुः प्रेक्ष्य चास्थि महाबलः। पादांगुष्ठेन चिक्षेप सम्पूर्णं दशयोजनम्॥६५॥,‘महाबली महाबाहु श्रीरामने तनिक मुसकराकर उस अस्थिसमूहको देखा और पैरके अँगूठेसे उसे दस योजन दूर फेंक दिया॥६५॥
बिभेद च पुनस्तालान् सप्तैकेन महेषुणा। गिरिं रसातलं चैव जनयन् प्रत्ययं तदा॥६६॥,‘फिर एक ही महान् बाणसे उन्होंने अपना । विश्वास दिलाते हुए सात तालवृक्षोंको और पर्वत तथा रसातलको बींध डाला॥६६॥
ततः प्रीतमनास्तेन विश्वस्तः स महाकपिः। किष्किन्धां रामसहितो जगाम च गुहां तदा॥६७॥,‘तदनन्तर रामके इस कार्यसे महाकपि सुग्रीव मनही-मन प्रसन्न हुए और उन्हें रामपर विश्वास हो गया। फिर वे उनके साथ किष्किन्धा गुहामें गये॥ ६७॥
ततोऽगर्जद्धरिवरः सुग्रीवो हेमपिंगलः। तेन नादेन महता निर्जगाम हरीश्वरः॥६८॥ अनुमान्य तदा तारां सुग्रीवेण समागतः। निजघान च तत्रैनं शरेणैकेन राघवः॥६९॥,"‘वहाँपर सुवर्णके समान पिंगलवर्णवाले वीरवर सुग्रीवने गर्जना की, उस महानादको सुनकर वानरराज वाली अपनी पत्नी ताराको आश्वासन देकर तत्काल घरसे बाहर निकला और सुग्रीवसे भिड़ गया। वहाँ रामने वालीको एक ही बाणसे मार गिराया॥ ६८-६९॥"
ततः सुग्रीववचनाद्धत्वा वालिनमाहवे। सुग्रीवमेव तद्राज्ये राघवः प्रत्यपादयत्॥७०॥,‘सुग्रीवके कथनानुसार उस संग्राममें वालीको मारकर उसके राज्यपर रामने सुग्रीवको ही बिठा दिया।
स च सर्वान् समानीय वानरान् वानरर्षभः। दिशः प्रस्थापयामास दिदृक्षुर्जनकात्मजाम्॥७१॥,‘तब उन वानरराजने भी सभी वानरोंको बुलाकर जानकीका पता लगानेके लिये उन्हें चारों दिशाओंमें भेजा॥
ततो गृध्रस्य वचनात् सम्पातेर्हनुमान् बली। शतयोजनविस्तीर्णं पुप्लुवे लवणार्णवम्॥७२॥,‘तत्पश्चात् सम्पाति नामक गृध्रके कहनेसे बलवान् हनुमान जी सौ योजन विस्तारवाले क्षार समुद्रको कूदकर लाँघ गये॥७२॥
तत्र लङ्कां समासाद्य पुरीं रावणपालिताम्। ददर्श सीतां ध्यायन्तीमशोकवनिकां गताम्॥७३॥,‘वहाँ रावणपालित लङ्कापुरीमें पहुँचकर उन्होंने अशोकवाटिकामें सीताको चिन्तामग्न देखा ॥७३॥
निवेदयित्वाभिज्ञानं प्रवृत्तिं विनिवेद्य च। समाश्वास्य च वैदेहीं मर्दयामास तोरणम्॥७४॥,‘तब उन विदेहनन्दिनीको अपनी पहचान देकर रामका संदेश सुनाया और उन्हें सान्त्वना देकर उन्होंने वाटिकाका द्वार तोड़ डाला॥ ७४ ॥
पञ्च सेनाग्रगान् हत्वा सप्त मन्त्रिसुतानपि। शूरमक्षं च निष्पिष्य ग्रहणं समुपागमत्॥७५॥,"‘फिर पाँच सेनापतियों और सात मन्त्रिकुमारोंकी हत्या कर वीर अक्षकुमारका भी कचूमर निकाला, इसके बाद वे [जान-बूझकर] पकड़े गये। ७५ ॥"
अस्त्रेणोन्मुक्तमात्मानं ज्ञात्वा पैतामहाद् वरात्। मर्षयन् राक्षसान् वीरो यन्त्रिणस्तान् यदृच्छया॥७६॥,‘ब्रह्माजीके वरदानसे अपनेको ब्रह्मपाशसे छूटा हुआ जानकर भी वीर हनुमान जी ने अपनेको बाँधनेवाले उन राक्षसोंका अपराध स्वेच्छानुसार सह लिया॥७६॥
ततो दग्ध्वा पुरीं लङ्कामृते सीतां च मैथिलीम्। रामाय प्रियमाख्यातुं पुनरायान्महाकपिः॥७७॥,‘तत्पश्चात् मिथिलेशकुमारी सीताके [स्थानके] अतिरिक्त समस्त लङ्काको जलाकर वे महाकपि हनुमान् जी रामको प्रिय संदेश सुनानेके लिये लंकासे लौट आये॥ ७७॥
सोऽभिगम्य महात्मानं कृत्वा रामं प्रदक्षिणम्। न्यवेदयदमेयात्मा दृष्टा सीतेति तत्त्वतः॥७८॥,‘अपरिमित बुद्धिशाली हनुमान जी ने वहाँ जा महात्मा रामकी प्रदक्षिणा करके यो सत्य निवेदन किया—’मैंने सीताजीका दर्शन किया है’ ।। ७८॥
ततः सुग्रीवसहितो गत्वा तीरं महोदधेः। समुद्रं क्षोभयामास शरैरादित्यसंनिभैः॥७९॥,‘इसके अनन्तर सुग्रीवके साथ भगवान् रामने महासागरके तटपर जाकर सूर्यके समान तेजस्वी बाणोंसे समुद्रको क्षुब्ध किया॥ ७९॥
दर्शयामास चात्मानं समुद्रः सरितां पतिः। समुद्रवचनाच्चैव नलं सेतुमकारयत्॥८०॥,"‘तब नदीपति समुद्रने अपनेको प्रकट कर दिया, फिर समुद्रके ही कहनेसे रामने नलसे पुल निर्माण कराया॥"
तेन गत्वा पुरीं लङ्कां हत्वा रावणमाहवे। रामः सीतामनुप्राप्य परां व्रीडामुपागमत्॥८१॥,"‘उसी पुलसे लङ्कापुरीमें जाकर रावणको मारा, फिर सीताके मिलनेपर रामको बड़ी लज्जा हुई। ८१॥"
तामुवाच ततो रामः परुषं जनसंसदि। अमृष्यमाणा सा सीता विवेश ज्वलनं सती॥८२॥,‘तब भरी सभामें सीताके प्रति वे मर्मभेदी वचन कहने लगे। उनकी इस बातको न सह सकनेके कारण साध्वी सीता अग्निमें प्रवेश कर गयी॥८२॥
