sanskrit,hindi
तदलं विक्लवां बुद्धिं राजन् सर्वार्थनाशिनीम्। पुरुषस्य हि लोकेऽस्मिन् शोकः शौर्यापकर्षणः॥१३॥,‘अतः राजन्! आप इस व्याकुल बुद्धि का आश्रय न लें-बुद्धि की इस व्याकुलता को त्याग दें; क्योंकि यह समस्त कार्यों को बिगाड़ देने वाली है और शोक इस जगत् में पुरुष के शौर्य को नष्ट कर देता है॥ १३॥
यत् तु कार्यं मनुष्येण शौटीर्यमवलम्ब्यताम्। तदलंकरणायैव कर्तुर्भवति सत्वरम्॥१४॥,"‘मनुष्य को जिसका आश्रय लेना चाहिये, उस शौर्य का ही वह अवलम्बन करे; क्योंकि वह कर्ता को शीघ्र ही अलंकृत कर देता है उसके अभीष्ट फल की सिद्धि करा देता है॥ १४॥"
अस्मिन् काले महाप्राज्ञ सत्त्वमातिष्ठ तेजसा। शूराणां हि मनुष्याणां त्वद्विधानां महात्मनाम्। विनष्टे वा प्रणष्टे वा शोकः सर्वार्थनाशनः॥१५॥,"‘अतः महाप्राज्ञ श्रीराम! आप इस समय तेज के साथ ही धैर्य का आश्रय लें। कोई वस्तु खो गयी हो या नष्ट हो गयी हो, उसके लिये आप-जैसे शूरवीर महात्मा पुरुषों को शोक नहीं करना चाहिये; क्योंकि शोक सब कामों को बिगाड़ देता है॥ १५ ॥"
तत्त्वं बुद्धिमतां श्रेष्ठः सर्वशास्त्रार्थकोविदः। मद्विधैः सचिवैः सार्धमरिं जेतुं समर्हसि॥१६॥,‘आप बुद्धिमानों में श्रेष्ठ और सम्पूर्ण शास्त्रों के मर्मज्ञ हैं। अतः हम-जैसे मन्त्रियों एवं सहायकोंके साथ रहकर अवश्य ही शत्रु पर विजय प्राप्त कर सकते हैं॥ १६॥
नहि पश्याम्यहं कंचित् त्रिषु लोकेषु राघव। गृहीतधनुषो यस्ते तिष्ठेदभिमुखो रणे॥१७॥,"‘रघुनन्दन! मुझे तो तीनों लोकों में ऐसा कोई वीर नहीं दिखायी देता, जो रणभूमि में धनुष लेकर खड़े हुए आपके सामने ठहर सके॥१७॥"
वानरेषु समासक्तं न ते कार्यं विपत्स्यते। अचिराद् द्रक्ष्यसे सीतां तीसागरमक्षयम्॥१८॥,"‘वानरों पर जिसका भार रखा गया है, आपका वह कार्य बिगड़ने नहीं पायेगा। आप शीघ्र ही इस अक्षय समुद्र को पार करके सीता का दर्शन करेंगे॥ १८ ॥"
तदलं शोकमालम्ब्य क्रोधमालम्ब भूपते। निश्चेष्टाः क्षत्रिया मन्दाः सर्वे चण्डस्य बिभ्यति॥१९॥,"‘पृथ्वीनाथ! अपने हृदय में शोक को स्थान देना व्यर्थ है। इस समय तो आप शत्रुओं के प्रति क्रोध धारण कीजिये। जो क्षत्रिय मन्द (क्रोधशून्य) होते हैं, उनसे कोई चेष्टा नहीं बन पाती; परंतु जो शत्रु के प्रति आवश्यक रोष से भरा होता है, उससे सब डरते हैं। १९॥"
लङ्घनार्थं च घोरस्य समुद्रस्य नदीपतेः। सहास्माभिरिहोपेतः सूक्ष्मबुद्धिर्विचारय॥२०॥,"‘नदियों के स्वामी घोर समुद्र को पार करने के लिये क्या उपाय किया जाय, इस विषय में आप हमारे साथ बैठकर विचार कीजिये; क्योंकि आपकी बुद्धि बड़ी सूक्ष्म है॥ २०॥"
लक्षिते तत्र तैः सैन्यैर्जितमित्येव निश्चिनु। सर्वं तीर्णं च मे सैन्यं जितमित्यवधार्यताम्॥२१॥,‘यदि हमारे सैनिक समुद्र को लाँघ गये तो यही निश्चय रखिये कि अपनी जीत अवश्य होगी। सारी सेना का समुद्र के उस पार पहुँच जाना ही अपनी विजय समझिये॥२१॥
इमे हि हरयः शूराः समरे कामरूपिणः। तानरीन् विधमिष्यन्ति शिलापादपवृष्टिभिः॥२२॥,‘ये वानर संग्राम में बड़े शूरवीर हैं और इच्छानुसार रूप धारण कर सकते हैं। ये पत्थरों और पेड़ों की वर्षा करके ही उन शत्रुओं का संहार कर डालेंगे। २२॥
कथंचित् परिपश्यामि लङ्कितं वरुणालयम्। हतमित्येव तं मन्ये युद्धे शत्रुनिबर्हण॥२३॥,‘शत्रुसूदन श्रीराम! यदि किसी प्रकार मैं इस वानर-सेना को समुद्र के उस पार पहुँची देख सकूँ तो मैं रावण को युद्ध में मरा हुआ ही समझता हूँ॥२३॥
किमुक्त्वा बहुधा चापि सर्वथा विजयी भवान्। निमित्तानि च पश्यामि मनो मे सम्प्रहृष्यति॥२४॥,‘बहुत कहने से क्या लाभ! मेरा तो विश्वास है कि आप सर्वथा विजयी होंगे; क्योंकि मुझे ऐसे ही शकुन दिखायी देते हैं और मेरा हृदय भी हर्ष एवं उत्साह से भरा है’॥२४॥
इत्यार्षे श्रीमद्रामायणे वाल्मीकीये आदिकाव्ये युद्धकाण्डे द्वितीयः सर्गः॥२॥ इस प्रकार श्रीवाल्मीकि निर्मित आर्षरामायण आदिकाव्य के युद्धकाण्ड में दूसरा सर्ग पूरा हुआ॥२॥,  </main>
Sarga Chapter- 35,Sarga Chapter- 35
॥ श्रीसीतारामचन्द्राभ्यां नमः॥ श्रीमद्वाल्मीकीय रामायण युद्धकाण्डम् पञ्चत्रिंशः सर्गः (35),माल्यवान् का रावण को श्रीराम से संधि करने के लिये समझाना
तेन शङ्कविमिश्रेण भेरीशब्देन नादिना। उपयाति महाबाहू रामः परपुरंजयः॥१॥,शत्रुनगरी पर विजय पाने वाले महाबाहु श्रीराम ने शङ्खध्वनि से मिश्रित हो तुमुल नाद करने वाली भेरी की आवाज के साथ लङ्का पर आक्रमण किया॥१॥
तं निनादं निशम्याथ रावणो राक्षसेश्वरः। मुहूर्तं ध्यानमास्थाय सचिवानभ्युदैक्षत॥२॥,उस भेरीनाद को सुनकर राक्षसराज रावण ने दो घड़ी तक कुछ सोच-विचार करने के पश्चात् अपने मन्त्रियों की ओर देखा॥२॥
अथ तान् सचिवांस्तत्र सर्वानाभाष्य रावणः। सभां संनादयन् सर्वामित्युवाच महाबलः॥३॥ जगत्संतापनः क्रूरोऽगर्हयन् राक्षसेश्वरः।,"उन सब मन्त्रियों को सम्बोधित करके जगत् को संताप देने वाले, महाबली, क्रूर राक्षसराज रावण ने सारी सभा को प्रतिध्वनित करके किसी पर आक्षेप न करते हुए कहा- ॥ ३ १/२॥"
तरणं सागरस्यास्य विक्रमं बलपौरुषम्॥४॥ यदुक्तवन्तो रामस्य भवन्तस्तन्मया श्रुतम्। भवतश्चाप्यहं वेद्मि युद्धे सत्यपराक्रमान्। तूष्णीकानीक्षतोऽन्योन्यं विदित्वा रामविक्रमम्॥,"‘आपलोगों ने राम के पराक्रम, बल-पौरुष तथा समुद्र-लङ्घन की जो बात बतायी है, वह सब मैंने सुन ली; परंतु मैं तो आपलोगों को भी, जो इस समय राम के पराक्रम की बातें जानकर चुपचाप एकदूसरे का मुँह देख रहे हैं, संग्रामभूमि में सत्यपराक्रमी वीर समझता हूँ’॥ ४-५॥"
ततस्तु सुमहाप्राज्ञो माल्यवान् नाम राक्षसः। रावणस्य वचः श्रुत्वा इति मातामहोऽब्रवीत् ॥६॥,"रावण के इस आक्षेपपूर्ण वचन को सुनने के पश्चात् महाबुद्धिमान् माल्यवान् नामक राक्षस ने, जो रावण का नाना था, इस प्रकार कहा— ॥६॥"
विद्यास्वभिविनीतो यो राजा राजन् नयानुगः। स शास्ति चिरमैश्वर्यमरीश्च कुरुते वशे॥७॥,"‘राजन् ! जो राजा चौदहों विद्याओं में सुशिक्षित और नीति का अनुसरण करने वाला होता है, वह दीर्घकालतक राज्य का शासन करता है। वह शत्रुओं को भी वश में कर लेता है॥७॥"
संदधानो हि कालेन विगृह्णश्चारिभिः सह। स्वपक्षे वर्धनं कुर्वन्महदैश्वर्यमश्नुते॥८॥,"‘जो समय के अनुसार आवश्यक होने पर शत्रुओं के साथ संधि और विग्रह करता है तथा अपने पक्ष की वृद्धि में लगा रहता है, वह महान् ऐश्वर्य का भागी होता है॥८॥"
हीयमानेन कर्तव्यो राज्ञा संधिः समेन च। न शत्रुमवमन्येत ज्यायान् कुर्वीत विग्रहम्॥९॥,"‘जिस राजा की शक्ति क्षीण हो रही हो अथवा जो शत्रु के समान ही शक्ति रखता हो, उससे संधि कर लेनी चाहिये। अपने से अधिक या समान शक्तिवाले शत्रु का कभी अपमान न करे। यदि स्वयं ही शक्ति में बढ़ा-चढ़ा हो, तभी शत्रु के साथ वह युद्ध ठाने॥९॥"
तन्मह्यं रोचते संधिः सह रामेण रावण। यदर्थमभियुक्तोऽसि सीता तस्मै प्रदीयताम्॥१०॥,"‘इसलिये रावण! मुझे तो श्रीराम के साथ संधि करना ही अच्छा लगता है। जिसके लिये तुम्हारे ऊपर आक्रमण हो रहा है, वह सीता तुम श्रीराम को लौटा दो॥"
तस्य देवर्षयः सर्वे गन्धर्वाश्च जयैषिणः। विरोधं मा गमस्तेन संधिस्ते तेन रोचताम्॥११॥,"‘देखो देवता, ऋषि और गन्धर्व सभी श्रीराम की विजय चाहते हैं, अतः तुम उनसे विरोध न करो। उनके साथ संधि कर लेने की ही इच्छा करो॥ ११॥"
असृजद् भगवान् पक्षौ दावेव हि पितामहः। सुराणामसुराणां च धर्माधर्मों तदाश्रयौ॥१२॥,‘भगवान् ब्रह्मा ने सुर और असुर दो ही पक्षों की सृष्टि की है। धर्म और अधर्म ही इनके आश्रय हैं।१२॥
धर्मो हि श्रूयते पक्ष अमराणां महात्मनाम्। अधर्मो रक्षसां पक्षो ह्यसुराणां च राक्षस॥१३॥,‘सुना जाता है महात्मा देवताओं का पक्ष धर्म है। राक्षसराज! राक्षसों और असुरों का पक्ष अधर्म है॥१३॥
धर्मो वै ग्रसतेऽधर्मं यदा कृतमभूद् युगम्। अधर्मो ग्रसते धर्मं यदा तिष्यः प्रवर्तते॥१४॥,"‘जब सत्ययुग होता है, तब धर्म बलवान् होकर अधर्म को ग्रस लेता है और जब कलियुग आता है, तब अधर्म ही धर्म को दबा देता है॥ १४॥"
तत् त्वया चरता लोकान् धर्मोऽपि निहतो महान्। अधर्मः प्रगृहीतश्च तेनास्मद् बलिनः परे॥१५॥,"‘तुमने दिग्विजय के लिये सब लोकों में भ्रमण करते हुए महान् धर्म का नाश किया है और अधर्म को गले लगाया है, इसलिये हमारे शत्रु हमसे प्रबल हैं।"
स प्रमादात् प्रवृद्धस्तेऽधर्मोऽहिर॑सते हि नः। विवर्धयति पक्षं च सुराणां सुरभावनः॥१६॥,‘तुम्हारे प्रमाद से बढ़ा हुआ अधर्मरूपी अजगर अब हमें निगल जाना चाहता है और देवताओं द्वारा पालित धर्म उनके पक्ष की वृद्धि कर रहा है॥ १६॥
विषयेषु प्रसक्तेन यत्किंचित्कारिणा त्वया। ऋषीणामग्निकल्पानामुढेगो जनितो महान्॥१७॥,"‘विषयों में आसक्त होकर जो कुछ भी कर डालने वाले तुमने जो मनमाना आचरण किया है, इससे अग्नि के समान तेजस्वी ऋषियों को बड़ा ही उद्वेग प्राप्त हुआ है।॥ १७॥"
तेषां प्रभावो दुर्धर्षः प्रदीप्त इव पावकः। तपसा भावितात्मानो धर्मस्यानुग्रहे रताः॥१८॥,‘उनका प्रभाव प्रज्वलित अग्नि के समान दुर्धर्ष है। वे ऋषि-मुनि तपस्या के द्वारा अपने अन्तःकरण को शुद्ध करके धर्म के ही संग्रह में तत्पर रहते हैं॥ १८॥
मुख्यैर्यज्ञैर्यजन्त्येते तैस्तैर्यत्ते द्विजातयः। जुह्वत्यग्नींश्च विधिवद् वेदांश्चोच्चैरधीयते॥१९॥,"‘ये द्विजगण मुख्य-मुख्य यज्ञों द्वारा यजन करते, विधिवत् अग्नि में आहुति देते और उच्च स्वर से वेदों का पाठ करते हैं ॥ १९॥"
अभिभूय च रक्षांसि ब्रह्मघोषानुदीरयन्। दिशो विप्रद्रुताः सर्वाः स्तनयित्नुरिवोष्णगे॥२०॥,"‘उन्होंने राक्षसों को अभिभूत करके वेदमन्त्रों की ध्वनि का विस्तार किया है, इसलिये ग्रीष्म ऋतु में मेघ की भाँति राक्षस सम्पूर्ण दिशाओं में भाग खड़े हुए हैं॥२०॥"
ऋषीणामग्निकल्पानामग्निहोत्रसमुत्थितः। आदत्ते रक्षसां तेजो धूमो व्याप्य दिशो दश॥२१॥,‘अग्नितुल्य तेजस्वी ऋषियों के अग्निहोत्र से प्रकट हुआ धूम दसों दिशाओं में व्याप्त होकर राक्षसों के तेज को हर लेता है॥ २१॥
तेषु तेषु च देशेषु पुण्येष्वेव दृढव्रतैः। चर्यमाणं तपस्तीव्र संतापयति राक्षसान्॥२२॥,"‘भिन्न-भिन्न देशों में पुण्य कर्मों में ही लगे रहकर दृढ़तापूर्वक उत्तम व्रत का पालन करने वाले ऋषिलोग जो तीव्र तपस्या करते हैं, वही राक्षसों को संताप दे रही है॥ २२॥"
देवदानवयक्षेभ्यो गृहीतश्च वरस्त्वया। मनुष्या वानरा ऋक्षा गोलाङ्गला महाबलाः। बलवन्त इहागम्य गर्जन्ति दृढविक्रमाः॥२३॥,"‘तुमने देवताओं, दानवों और यक्षों से ही अवध्य होने का वर प्राप्त किया है, मनुष्य आदि से नहीं। परंतु यहाँ तो मनुष्य, वानर, रीछ और लंगूर आकर गरज रहे हैं। वे सब-के-सब हैं भी बड़े बलवान्, सैनिकशक्ति से सम्पन्न तथा सुदृढ़ पराक्रमी॥ २३॥"
उत्पातान् विविधान् दृष्ट्वा घोरान् बहुविधान् बहून्। विनाशमनुपश्यामि सर्वेषां रक्षसामहम्॥२४॥,‘नाना प्रकार के बहुत-से भयंकर उत्पातों को लक्ष्य करके मैं तो इन समस्त राक्षसों के विनाश का ही अवसर उपस्थित देख रहा हूँ॥२४॥
खराभिस्तनिता घोरा मेघाः प्रतिभयंकराः। शोणितेनाभिवर्षन्ति लङ्कामुष्णेन सर्वतः॥२५॥,‘घोर एवं भयंकर मेघ प्रचण्ड गर्जन-तर्जन के साथ लङ्का पर सब ओर से गर्म खून की वर्षा कर रहे हैं। २५॥
रुदतां वाहनानां च प्रपतन्त्यश्रुबिन्दवः। रजोध्वस्ता विवर्णाश्च न प्रभान्ति यथापुरम्॥२६॥,‘घोड़े-हाथी आदि वाहन रो रहे हैं और उनके नेत्रों से अश्रुविन्दु झर रहे हैं। दिशाएँ धूल भर जाने से मलिन हो अब पहले की भाँति प्रकाशित नहीं हो रही हैं ॥ २६॥
व्याला गोमायवो गृध्रा वाश्यन्ति च सुभैरवम्। प्रविश्य लङ्कामारामे समवायांश्च कुर्वते॥२७॥,"मांसभक्षी हिंसक पशु, गीदड़ और गीध भयंकर बोली बोलते हैं तथा लङ्का के उपवन में घुसकर झुंड बनाकर बैठते हैं ॥ २७॥"
कालिकाः पाण्डुरैर्दन्तैः प्रहसन्त्यग्रतः स्थिताः। स्त्रियः स्वप्नेषु मुष्णन्त्यो गृहाणि प्रतिभाष्य च॥२८॥,‘सपने में काले रंग की स्त्रियाँ अपने पीले दाँत दिखाती हुई सामने आकर खड़ी हो जाती और प्रतिकूल बातें कहकर घर के सामान चुराती हुई जोरजोर से हँसती हैं॥२८॥
गृहाणां बलिकर्माणि श्वानः पर्युपभुञ्जते। खरा गोषु प्रजायन्ते मूषका नकुलेषु च॥२९॥,"‘घरों में जो बलिकर्म किये जाते हैं, उस बलिसामग्री को कुत्ते खा जाते हैं। गौओं से गधे और नेवलों से चूहे पैदा होते हैं॥ २९॥"
मार्जारा दीपिभिः सार्धं सूकराः शुनकैः सह। किंनरा राक्षसैश्चापि समेयुर्मानुषैः सह॥३०॥,"‘बाघों के साथ बिलाव, कुत्तों के साथ सूअर तथा राक्षसों और मनुष्यों के साथ किन्नर समागम करते"
पाण्डुरा रक्तपादाश्च विहगाः कालचोदिताः। राक्षसानां विनाशाय कपोता विचरन्ति च॥३१॥,"‘जिनकी पाँखें सफेद और पंजे लाल हैं, वे कबूतर पक्षी दैवसे प्रेरित हो राक्षसों का भावी विनाश सूचित करने के लिये यहाँ सब ओर विचरते हैं॥३१॥"
चीचीकूचीति वाशन्त्यः शारिका वेश्मसु स्थिताः। पतन्ति ग्रथिताश्चापि निर्जिताः कलहैषिभिः॥३२॥,‘घरों में रहने वाली सारिकाएँ कलहकी इच्छावाले दूसरे पक्षियों से चें-चें करती हुई गुँथ जाती हैं और उनसे पराजित हो पृथ्वी पर गिर पड़ती हैं ॥ ३२॥
पक्षिणश्च मृगाः सर्वे प्रत्यादित्यं रुदन्ति ते। करालो विकटो मुण्डः पुरुषः कृष्णपिङ्गलः॥३३॥ कालो गृहाणि सर्वेषां काले कालेऽन्ववेक्षते।,"‘पक्षी और मृग सभी सूर्य की ओर मुंह करके रोते हैं। विकराल, विकट, काले और भूरे रंग के मूंड़ मुड़ाये हुए पुरुष का रूप धारण करके काल समयसमय पर हम सबके घरों की ओर देखता है॥ ३३ १/२॥"
एतान्यन्यानि दुष्टानि निमित्तान्युत्पतन्ति च॥३४॥ विष्णुं मन्यामहे रामं मानुषं रूपमास्थितम्। नहि मानुषमात्रोऽसौ राघवो दृढविक्रमः॥ ३५॥ येन बद्धः समुद्रे च सेतुः स परमाद्भुतः। कुरुष्व नरराजेन संधिं रामेण रावण। ज्ञात्वावधार्य कर्माणि क्रियतामायतिक्षमम्॥,"‘ये तथा और भी बहुत-से अपशकुन हो रहे हैं। मैं ऐसा समझता हूँ कि साक्षात् भगवान् विष्णु ही मानवरूप धारण करके राम होकर आये हैं। जिन्होंने समुद्र में अत्यन्त अद्भुत सेतु बाँधा है, वे दृढपराक्रमी रघुवीर साधारण मनुष्यमात्र नहीं हैं। रावण! तुम नरराज श्रीराम के साथ संधि कर लो। श्रीराम के अलौकिक कर्मों और लङ्का में होने वाले उत्पातों को जानकर जो कार्य भविष्य में सुख देनेवाला हो, उसका निश्चय करके वही करो’॥"
इदं वचस्तस्य निगद्य माल्यवान् परीक्ष्य रक्षोधिपतेर्मनः पुनः। अनुत्तमेषूत्तमपौरुषो बली बभूव तूष्णीं समवेक्ष्य रावणम्॥३७॥,यह बात कहकर तथा राक्षसराज रावण के मनोभाव की परीक्षा करके उत्तम मन्त्रियों में श्रेष्ठ पौरुषशाली महाबली माल्यवान् रावण की ओर देखता हुआ चुप हो गया॥ ३७॥
इत्याचे श्रीमद्रामायणे वाल्मीकीये आदिकाव्ये युद्धकाण्डे पञ्चत्रिंशः सर्गः॥ ३५॥ इस प्रकार श्रीवाल्मीकि निर्मित आर्षरामायण आदिकाव्य के युद्धकाण्ड में पैंतीसवाँ सर्ग पूरा हुआ।३५॥,  </main>
Sarga Chapter- 30,Sarga Chapter- 30
॥ श्रीसीतारामचन्द्राभ्यां नमः॥ श्रीमद्वाल्मीकीय रामायण युद्धकाण्डम् त्रिंशः सर्गः (30),रावण के भेजे हुए गुप्तचरों एवं शार्दूल का उससे वानर-सेना का समाचार बताना और मुख्य-मुख्य वीरों का परिचय देना
ततस्तमक्षोभ्यबलं लङ्काधिपतये चराः। सुवेले राघवं शैले निविष्टं प्रत्यवेदयन्॥१॥,गुप्तचरों ने लङ्कापति रावण को यह बताया कि श्रीरामचन्द्रजी की सेना सुवेल पर्वत के पास आकर ठहरी है और वह सर्वथा अजेय है॥१॥
चाराणां रावणः श्रुत्वा प्राप्तं रामं महाबलम्। जातोद्वेगोऽभवत् किंचिच्छार्दूलं वाक्यमब्रवीत् ॥२॥,गुप्तचरों के मुँह से यह सुनकर कि महाबली श्रीराम आ पहुँचे हैं; रावण को कुछ भय हो गया। वह शार्दूल से बोला— ॥२॥
अयथावच्च ते वर्णो दीनश्चासि निशाचर। नासि कच्चिदमित्राणां क्रुद्धानां वशमागतः॥३॥,‘निशाचर! तुम्हारे शरीर की कान्ति पहले-जैसी नहीं रह गयी है। तुम दीन (दुःखी) दिखायी दे रहे हो। कहीं कुपित हुए शत्रुओं के वश में तो नहीं पड़ गये थे?’॥३॥
इति तेनानुशिष्टस्तु वाचं मन्दमुदीरयन्। तदा राक्षसशार्दूलं शार्दूलो भयविक्लवः॥४॥,उसके इस प्रकार पूछने पर भय से घबराये हुए शार्दूल ने राक्षसप्रवर रावण से मन्द स्वर में कहा— ॥४॥
न ते चारयितुं शक्या राजन् वानरपुङ्गवाः। विक्रान्ता बलवन्तश्च राघवेण च रक्षिताः॥५॥,"‘राजन्! उन श्रेष्ठ वानरों की गतिविधि का पता गुप्तचरों द्वारा नहीं लगाया जा सकता। वे बड़े पराक्रमी, बलवान् तथा श्रीरामचन्द्रजी के द्वारा सुरक्षित हैं॥ ५॥"
नापि सम्भाषितुं शक्याः सम्प्रश्नोऽत्र न लभ्यते। सर्वतो रक्ष्यते पन्था वानरैः पर्वतोपमैः॥६॥,"‘उनसे वार्तालाप करना भी असम्भव है; अतः ‘आप कौन हैं, आपका क्या विचार है’ इत्यादि प्रश्नों के लिये वहाँ अवकाश ही नहीं मिलता। पर्वतों के समान विशालकाय वानर सब ओर से मार्ग की रक्षा करते हैं; अतः वहाँ प्रवेश होना भी कठिन ही है॥६॥"
प्रविष्टमात्रे ज्ञातोऽहं बले तस्मिन् विचारिते। बलाद् गृहीतो रक्षोभिर्बहुधास्मि विचारितः॥७॥,"‘उस सेना में प्रवेश करके ज्यों ही उसकी गतिविधि का विचार करना आरम्भ किया, त्यों ही विभीषण के साथी राक्षसों ने मुझे पहचानकर बलपूर्वक पकड़ लिया और बारंबार इधर-उधर घुमाया॥७॥"
